Welcome to the Feature Selection Algorithm
Do you want to test the 'LARGE' or 'SMALL' dataset? Input large/small in CAPS please: large
Which dataset do you want to test? Please input from 1-100 for the desired dataset: 28
Do you want to run Forward Selection or Backward Elimination? Enter 1 or 2 for the respective algorithm: 2
Running Data/Ver_2_CS170_Fall_2021_LARGE_data__28.txt
This dataset has 50 features(excluding class attribute) with 2000 instances
Starting from the empty set, our default rate is 83.8

At level 16, I removed feature 15 from the current set to achieve an accuracy of 77.35

On the 17th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.45 
--Removing feature 3 from current set yields accuracy of 76.45 
--Removing feature 5 from current set yields accuracy of 76.5 
--Removing feature 6 from current set yields accuracy of 76.25 
--Removing feature 9 from current set yields accuracy of 76.65 
--Removing feature 10 from current set yields accuracy of 75.7 
--Removing feature 11 from current set yields accuracy of 75.8 
--Removing feature 12 from current set yields accuracy of 76.8 
--Removing feature 13 from current set yields accuracy of 76.3 
--Removing feature 16 from current set yields accuracy of 76.9 
--Removing feature 17 from current set yields accuracy of 76.7 
--Removing feature 18 from current set yields accuracy of 76.55 
--Removing feature 20 from current set yields accuracy of 76.75 
--Removing feature 21 from current set yields accuracy of 76.4 
--Removing feature 23 from current set yields accuracy of 77.5 
--Removing feature 24 from current set yields accuracy of 76.45 
--Removing feature 26 from current set yields accuracy of 77.25 
--Removing feature 27 from current set yields accuracy of 76.15 
--Removing feature 31 from current set yields accuracy of 76.5 
--Removing feature 32 from current set yields accuracy of 76.75 
--Removing feature 36 from current set yields accuracy of 76.05 
--Removing feature 37 from current set yields accuracy of 77.4 
--Removing feature 38 from current set yields accuracy of 76.3 
--Removing feature 39 from current set yields accuracy of 76.8 
--Removing feature 40 from current set yields accuracy of 76.15 
--Removing feature 41 from current set yields accuracy of 77.15 
--Removing feature 42 from current set yields accuracy of 76.0 
--Removing feature 43 from current set yields accuracy of 75.5 
--Removing feature 44 from current set yields accuracy of 76.6 
--Removing feature 46 from current set yields accuracy of 76.1 
--Removing feature 47 from current set yields accuracy of 76.4 
--Removing feature 48 from current set yields accuracy of 76.9 
--Removing feature 49 from current set yields accuracy of 76.5 
--Removing feature 50 from current set yields accuracy of 75.75 
At level 17, I removed feature 23 from the current set to achieve an accuracy of 77.5

On the 18th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.75 
--Removing feature 3 from current set yields accuracy of 76.95 
--Removing feature 5 from current set yields accuracy of 76.55 
--Removing feature 6 from current set yields accuracy of 76.1 
--Removing feature 9 from current set yields accuracy of 76.75 
--Removing feature 10 from current set yields accuracy of 76.05 
--Removing feature 11 from current set yields accuracy of 76.1 
--Removing feature 12 from current set yields accuracy of 76.5 
--Removing feature 13 from current set yields accuracy of 76.75 
--Removing feature 16 from current set yields accuracy of 76.95 
--Removing feature 17 from current set yields accuracy of 76.95 
--Removing feature 18 from current set yields accuracy of 76.45 
--Removing feature 20 from current set yields accuracy of 77.0 
--Removing feature 21 from current set yields accuracy of 76.7 
--Removing feature 24 from current set yields accuracy of 77.2 
--Removing feature 26 from current set yields accuracy of 77.0 
--Removing feature 27 from current set yields accuracy of 75.9 
--Removing feature 31 from current set yields accuracy of 76.55 
--Removing feature 32 from current set yields accuracy of 77.0 
--Removing feature 36 from current set yields accuracy of 76.25 
--Removing feature 37 from current set yields accuracy of 78.0 
--Removing feature 38 from current set yields accuracy of 77.05 
--Removing feature 39 from current set yields accuracy of 76.7 
--Removing feature 40 from current set yields accuracy of 76.6 
--Removing feature 41 from current set yields accuracy of 76.0 
--Removing feature 42 from current set yields accuracy of 75.8 
--Removing feature 43 from current set yields accuracy of 76.35 
--Removing feature 44 from current set yields accuracy of 76.7 
--Removing feature 46 from current set yields accuracy of 76.55 
--Removing feature 47 from current set yields accuracy of 76.65 
--Removing feature 48 from current set yields accuracy of 76.35 
--Removing feature 49 from current set yields accuracy of 77.15 
--Removing feature 50 from current set yields accuracy of 75.65 
At level 18, I removed feature 37 from the current set to achieve an accuracy of 78.0

On the 19th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.8 
--Removing feature 3 from current set yields accuracy of 77.7 
--Removing feature 5 from current set yields accuracy of 76.8 
--Removing feature 6 from current set yields accuracy of 77.0 
--Removing feature 9 from current set yields accuracy of 76.3 
--Removing feature 10 from current set yields accuracy of 76.7 
--Removing feature 11 from current set yields accuracy of 76.7 
--Removing feature 12 from current set yields accuracy of 76.3 
--Removing feature 13 from current set yields accuracy of 77.05 
--Removing feature 16 from current set yields accuracy of 77.65 
--Removing feature 17 from current set yields accuracy of 76.5 
--Removing feature 18 from current set yields accuracy of 77.7 
--Removing feature 20 from current set yields accuracy of 77.05 
--Removing feature 21 from current set yields accuracy of 76.8 
--Removing feature 24 from current set yields accuracy of 77.75 
--Removing feature 26 from current set yields accuracy of 77.05 
--Removing feature 27 from current set yields accuracy of 76.8 
--Removing feature 31 from current set yields accuracy of 76.2 
--Removing feature 32 from current set yields accuracy of 77.55 
--Removing feature 36 from current set yields accuracy of 76.0 
--Removing feature 38 from current set yields accuracy of 77.95 
--Removing feature 39 from current set yields accuracy of 76.9 
--Removing feature 40 from current set yields accuracy of 77.35 
--Removing feature 41 from current set yields accuracy of 76.65 
--Removing feature 42 from current set yields accuracy of 77.2 
--Removing feature 43 from current set yields accuracy of 76.9 
--Removing feature 44 from current set yields accuracy of 77.5 
--Removing feature 46 from current set yields accuracy of 76.85 
--Removing feature 47 from current set yields accuracy of 76.95 
--Removing feature 48 from current set yields accuracy of 77.0 
--Removing feature 49 from current set yields accuracy of 77.8 
--Removing feature 50 from current set yields accuracy of 76.8 
At level 19, I removed feature 38 from the current set to achieve an accuracy of 77.95

On the 20th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.0 
--Removing feature 3 from current set yields accuracy of 77.15 
--Removing feature 5 from current set yields accuracy of 77.0 
--Removing feature 6 from current set yields accuracy of 76.9 
--Removing feature 9 from current set yields accuracy of 76.5 
--Removing feature 10 from current set yields accuracy of 77.35 
--Removing feature 11 from current set yields accuracy of 77.0 
--Removing feature 12 from current set yields accuracy of 76.75 
--Removing feature 13 from current set yields accuracy of 77.45 
--Removing feature 16 from current set yields accuracy of 77.2 
--Removing feature 17 from current set yields accuracy of 76.65 
--Removing feature 18 from current set yields accuracy of 78.1 
--Removing feature 20 from current set yields accuracy of 77.0 
--Removing feature 21 from current set yields accuracy of 76.95 
--Removing feature 24 from current set yields accuracy of 77.35 
--Removing feature 26 from current set yields accuracy of 76.6 
--Removing feature 27 from current set yields accuracy of 77.5 
--Removing feature 31 from current set yields accuracy of 76.35 
--Removing feature 32 from current set yields accuracy of 77.25 
--Removing feature 36 from current set yields accuracy of 76.1 
--Removing feature 39 from current set yields accuracy of 77.2 
--Removing feature 40 from current set yields accuracy of 77.3 
--Removing feature 41 from current set yields accuracy of 76.9 
--Removing feature 42 from current set yields accuracy of 77.05 
--Removing feature 43 from current set yields accuracy of 77.05 
--Removing feature 44 from current set yields accuracy of 76.95 
--Removing feature 46 from current set yields accuracy of 77.05 
--Removing feature 47 from current set yields accuracy of 77.2 
--Removing feature 48 from current set yields accuracy of 76.6 
--Removing feature 49 from current set yields accuracy of 77.6 
--Removing feature 50 from current set yields accuracy of 76.65 
At level 20, I removed feature 18 from the current set to achieve an accuracy of 78.1

On the 21th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.7 
--Removing feature 3 from current set yields accuracy of 76.8 
--Removing feature 5 from current set yields accuracy of 77.3 
--Removing feature 6 from current set yields accuracy of 76.65 
--Removing feature 9 from current set yields accuracy of 76.45 
--Removing feature 10 from current set yields accuracy of 77.25 
--Removing feature 11 from current set yields accuracy of 76.65 
--Removing feature 12 from current set yields accuracy of 76.8 
--Removing feature 13 from current set yields accuracy of 77.1 
--Removing feature 16 from current set yields accuracy of 77.2 
--Removing feature 17 from current set yields accuracy of 76.55 
--Removing feature 20 from current set yields accuracy of 77.2 
--Removing feature 21 from current set yields accuracy of 77.45 
--Removing feature 24 from current set yields accuracy of 76.95 
--Removing feature 26 from current set yields accuracy of 76.45 
--Removing feature 27 from current set yields accuracy of 77.15 
--Removing feature 31 from current set yields accuracy of 76.9 
--Removing feature 32 from current set yields accuracy of 77.8 
--Removing feature 36 from current set yields accuracy of 76.45 
--Removing feature 39 from current set yields accuracy of 76.45 
--Removing feature 40 from current set yields accuracy of 76.85 
--Removing feature 41 from current set yields accuracy of 77.5 
--Removing feature 42 from current set yields accuracy of 76.5 
--Removing feature 43 from current set yields accuracy of 77.05 
--Removing feature 44 from current set yields accuracy of 77.0 
--Removing feature 46 from current set yields accuracy of 76.9 
--Removing feature 47 from current set yields accuracy of 77.15 
--Removing feature 48 from current set yields accuracy of 75.95 
--Removing feature 49 from current set yields accuracy of 77.2 
--Removing feature 50 from current set yields accuracy of 76.65 
At level 21, I removed feature 32 from the current set to achieve an accuracy of 77.8

On the 22th level of the search tree
--Removing feature 2 from current set yields accuracy of 75.85 
--Removing feature 3 from current set yields accuracy of 76.85 
--Removing feature 5 from current set yields accuracy of 77.2 
--Removing feature 6 from current set yields accuracy of 76.15 
--Removing feature 9 from current set yields accuracy of 76.1 
--Removing feature 10 from current set yields accuracy of 76.25 
--Removing feature 11 from current set yields accuracy of 76.5 
--Removing feature 12 from current set yields accuracy of 76.65 
--Removing feature 13 from current set yields accuracy of 77.15 
--Removing feature 16 from current set yields accuracy of 76.75 
--Removing feature 17 from current set yields accuracy of 76.0 
--Removing feature 20 from current set yields accuracy of 77.3 
--Removing feature 21 from current set yields accuracy of 76.5 
--Removing feature 24 from current set yields accuracy of 77.0 
--Removing feature 26 from current set yields accuracy of 76.05 
--Removing feature 27 from current set yields accuracy of 76.6 
--Removing feature 31 from current set yields accuracy of 75.95 
--Removing feature 36 from current set yields accuracy of 76.3 
--Removing feature 39 from current set yields accuracy of 76.1 
--Removing feature 40 from current set yields accuracy of 76.65 
--Removing feature 41 from current set yields accuracy of 77.65 
--Removing feature 42 from current set yields accuracy of 76.25 
--Removing feature 43 from current set yields accuracy of 77.45 
--Removing feature 44 from current set yields accuracy of 76.4 
--Removing feature 46 from current set yields accuracy of 76.25 
--Removing feature 47 from current set yields accuracy of 76.9 
--Removing feature 48 from current set yields accuracy of 76.45 
--Removing feature 49 from current set yields accuracy of 76.95 
--Removing feature 50 from current set yields accuracy of 77.25 
At level 22, I removed feature 41 from the current set to achieve an accuracy of 77.65

On the 23th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.6 
--Removing feature 3 from current set yields accuracy of 76.6 
--Removing feature 5 from current set yields accuracy of 77.55 
--Removing feature 6 from current set yields accuracy of 75.7 
--Removing feature 9 from current set yields accuracy of 75.5 
--Removing feature 10 from current set yields accuracy of 76.5 
--Removing feature 11 from current set yields accuracy of 76.55 
--Removing feature 12 from current set yields accuracy of 77.35 
--Removing feature 13 from current set yields accuracy of 76.7 
--Removing feature 16 from current set yields accuracy of 76.45 
--Removing feature 17 from current set yields accuracy of 77.25 
--Removing feature 20 from current set yields accuracy of 76.75 
--Removing feature 21 from current set yields accuracy of 76.1 
--Removing feature 24 from current set yields accuracy of 76.2 
--Removing feature 26 from current set yields accuracy of 76.1 
--Removing feature 27 from current set yields accuracy of 76.45 
--Removing feature 31 from current set yields accuracy of 75.7 
--Removing feature 36 from current set yields accuracy of 76.6 
--Removing feature 39 from current set yields accuracy of 75.95 
--Removing feature 40 from current set yields accuracy of 76.6 
--Removing feature 42 from current set yields accuracy of 75.95 
--Removing feature 43 from current set yields accuracy of 76.8 
--Removing feature 44 from current set yields accuracy of 75.65 
--Removing feature 46 from current set yields accuracy of 76.0 
--Removing feature 47 from current set yields accuracy of 77.15 
--Removing feature 48 from current set yields accuracy of 76.35 
--Removing feature 49 from current set yields accuracy of 76.55 
--Removing feature 50 from current set yields accuracy of 76.95 
At level 23, I removed feature 5 from the current set to achieve an accuracy of 77.55

On the 24th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.15 
--Removing feature 3 from current set yields accuracy of 76.85 
--Removing feature 6 from current set yields accuracy of 75.8 
--Removing feature 9 from current set yields accuracy of 76.4 
--Removing feature 10 from current set yields accuracy of 75.75 
--Removing feature 11 from current set yields accuracy of 75.95 
--Removing feature 12 from current set yields accuracy of 76.8 
--Removing feature 13 from current set yields accuracy of 76.3 
--Removing feature 16 from current set yields accuracy of 76.05 
--Removing feature 17 from current set yields accuracy of 76.05 
--Removing feature 20 from current set yields accuracy of 77.0 
--Removing feature 21 from current set yields accuracy of 75.75 
--Removing feature 24 from current set yields accuracy of 75.65 
--Removing feature 26 from current set yields accuracy of 76.4 
--Removing feature 27 from current set yields accuracy of 75.9 
--Removing feature 31 from current set yields accuracy of 76.15 
--Removing feature 36 from current set yields accuracy of 76.35 
--Removing feature 39 from current set yields accuracy of 75.85 
--Removing feature 40 from current set yields accuracy of 76.75 
--Removing feature 42 from current set yields accuracy of 76.15 
--Removing feature 43 from current set yields accuracy of 76.6 
--Removing feature 44 from current set yields accuracy of 76.7 
--Removing feature 46 from current set yields accuracy of 75.75 
--Removing feature 47 from current set yields accuracy of 76.5 
--Removing feature 48 from current set yields accuracy of 75.85 
--Removing feature 49 from current set yields accuracy of 76.0 
--Removing feature 50 from current set yields accuracy of 76.45 
At level 24, I removed feature 20 from the current set to achieve an accuracy of 77.0

On the 25th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.45 
--Removing feature 3 from current set yields accuracy of 76.1 
--Removing feature 6 from current set yields accuracy of 76.0 
--Removing feature 9 from current set yields accuracy of 76.35 
--Removing feature 10 from current set yields accuracy of 75.4 
--Removing feature 11 from current set yields accuracy of 76.25 
--Removing feature 12 from current set yields accuracy of 76.9 
--Removing feature 13 from current set yields accuracy of 76.7 
--Removing feature 16 from current set yields accuracy of 75.45 
--Removing feature 17 from current set yields accuracy of 76.05 
--Removing feature 21 from current set yields accuracy of 76.55 
--Removing feature 24 from current set yields accuracy of 75.9 
--Removing feature 26 from current set yields accuracy of 75.75 
--Removing feature 27 from current set yields accuracy of 76.4 
--Removing feature 31 from current set yields accuracy of 76.35 
--Removing feature 36 from current set yields accuracy of 75.15 
--Removing feature 39 from current set yields accuracy of 75.6 
--Removing feature 40 from current set yields accuracy of 77.1 
--Removing feature 42 from current set yields accuracy of 75.7 
--Removing feature 43 from current set yields accuracy of 76.7 
--Removing feature 44 from current set yields accuracy of 76.55 
--Removing feature 46 from current set yields accuracy of 76.1 
--Removing feature 47 from current set yields accuracy of 75.65 
--Removing feature 48 from current set yields accuracy of 76.2 
--Removing feature 49 from current set yields accuracy of 76.4 
--Removing feature 50 from current set yields accuracy of 76.35 
At level 25, I removed feature 40 from the current set to achieve an accuracy of 77.1

On the 26th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.6 
--Removing feature 3 from current set yields accuracy of 77.05 
--Removing feature 6 from current set yields accuracy of 76.1 
--Removing feature 9 from current set yields accuracy of 76.75 
--Removing feature 10 from current set yields accuracy of 76.1 
--Removing feature 11 from current set yields accuracy of 76.6 
--Removing feature 12 from current set yields accuracy of 75.9 
--Removing feature 13 from current set yields accuracy of 75.85 
--Removing feature 16 from current set yields accuracy of 76.0 
--Removing feature 17 from current set yields accuracy of 76.5 
--Removing feature 21 from current set yields accuracy of 75.9 
--Removing feature 24 from current set yields accuracy of 75.95 
--Removing feature 26 from current set yields accuracy of 76.3 
--Removing feature 27 from current set yields accuracy of 75.2 
--Removing feature 31 from current set yields accuracy of 76.65 
--Removing feature 36 from current set yields accuracy of 74.9 
--Removing feature 39 from current set yields accuracy of 75.9 
--Removing feature 42 from current set yields accuracy of 75.25 
--Removing feature 43 from current set yields accuracy of 76.45 
--Removing feature 44 from current set yields accuracy of 76.4 
--Removing feature 46 from current set yields accuracy of 76.65 
--Removing feature 47 from current set yields accuracy of 76.6 
--Removing feature 48 from current set yields accuracy of 75.85 
--Removing feature 49 from current set yields accuracy of 76.5 
--Removing feature 50 from current set yields accuracy of 76.7 
At level 26, I removed feature 3 from the current set to achieve an accuracy of 77.05

On the 27th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.45 
--Removing feature 6 from current set yields accuracy of 75.8 
--Removing feature 9 from current set yields accuracy of 76.75 
--Removing feature 10 from current set yields accuracy of 76.0 
--Removing feature 11 from current set yields accuracy of 76.3 
--Removing feature 12 from current set yields accuracy of 76.6 
--Removing feature 13 from current set yields accuracy of 75.45 
--Removing feature 16 from current set yields accuracy of 76.45 
--Removing feature 17 from current set yields accuracy of 75.6 
--Removing feature 21 from current set yields accuracy of 76.05 
--Removing feature 24 from current set yields accuracy of 75.65 
--Removing feature 26 from current set yields accuracy of 76.3 
--Removing feature 27 from current set yields accuracy of 75.3 
--Removing feature 31 from current set yields accuracy of 76.45 
--Removing feature 36 from current set yields accuracy of 76.25 
--Removing feature 39 from current set yields accuracy of 76.85 
--Removing feature 42 from current set yields accuracy of 75.3 
--Removing feature 43 from current set yields accuracy of 76.7 
--Removing feature 44 from current set yields accuracy of 76.0 
--Removing feature 46 from current set yields accuracy of 76.8 
--Removing feature 47 from current set yields accuracy of 76.9 
--Removing feature 48 from current set yields accuracy of 75.35 
--Removing feature 49 from current set yields accuracy of 75.65 
--Removing feature 50 from current set yields accuracy of 75.75 
At level 27, I removed feature 47 from the current set to achieve an accuracy of 76.9

On the 28th level of the search tree
--Removing feature 2 from current set yields accuracy of 75.9 
--Removing feature 6 from current set yields accuracy of 75.25 
--Removing feature 9 from current set yields accuracy of 75.7 
--Removing feature 10 from current set yields accuracy of 75.6 
--Removing feature 11 from current set yields accuracy of 75.65 
--Removing feature 12 from current set yields accuracy of 76.3 
--Removing feature 13 from current set yields accuracy of 75.15 
--Removing feature 16 from current set yields accuracy of 76.05 
--Removing feature 17 from current set yields accuracy of 74.75 
--Removing feature 21 from current set yields accuracy of 75.95 
--Removing feature 24 from current set yields accuracy of 75.7 
--Removing feature 26 from current set yields accuracy of 75.85 
--Removing feature 27 from current set yields accuracy of 75.3 
--Removing feature 31 from current set yields accuracy of 75.8 
--Removing feature 36 from current set yields accuracy of 75.65 
--Removing feature 39 from current set yields accuracy of 75.6 
--Removing feature 42 from current set yields accuracy of 75.95 
--Removing feature 43 from current set yields accuracy of 75.85 
--Removing feature 44 from current set yields accuracy of 75.65 
--Removing feature 46 from current set yields accuracy of 76.6 
--Removing feature 48 from current set yields accuracy of 74.95 
--Removing feature 49 from current set yields accuracy of 75.75 
--Removing feature 50 from current set yields accuracy of 75.45 
At level 28, I removed feature 46 from the current set to achieve an accuracy of 76.6

On the 29th level of the search tree
--Removing feature 2 from current set yields accuracy of 75.45 
--Removing feature 6 from current set yields accuracy of 75.3 
--Removing feature 9 from current set yields accuracy of 76.15 
--Removing feature 10 from current set yields accuracy of 75.0 
--Removing feature 11 from current set yields accuracy of 74.95 
--Removing feature 12 from current set yields accuracy of 75.45 
--Removing feature 13 from current set yields accuracy of 75.3 
--Removing feature 16 from current set yields accuracy of 76.0 
--Removing feature 17 from current set yields accuracy of 75.05 
--Removing feature 21 from current set yields accuracy of 75.3 
--Removing feature 24 from current set yields accuracy of 76.0 
--Removing feature 26 from current set yields accuracy of 74.95 
--Removing feature 27 from current set yields accuracy of 74.8 
--Removing feature 31 from current set yields accuracy of 76.35 
--Removing feature 36 from current set yields accuracy of 75.25 
--Removing feature 39 from current set yields accuracy of 74.9 
--Removing feature 42 from current set yields accuracy of 75.05 
--Removing feature 43 from current set yields accuracy of 75.45 
--Removing feature 44 from current set yields accuracy of 75.1 
--Removing feature 48 from current set yields accuracy of 74.4 
--Removing feature 49 from current set yields accuracy of 76.35 
--Removing feature 50 from current set yields accuracy of 76.05 
At level 29, I removed feature 31 from the current set to achieve an accuracy of 76.35

On the 30th level of the search tree
--Removing feature 2 from current set yields accuracy of 75.95 
--Removing feature 6 from current set yields accuracy of 75.45 
--Removing feature 9 from current set yields accuracy of 75.5 
--Removing feature 10 from current set yields accuracy of 75.6 
--Removing feature 11 from current set yields accuracy of 75.55 
--Removing feature 12 from current set yields accuracy of 76.35 
--Removing feature 13 from current set yields accuracy of 75.45 
--Removing feature 16 from current set yields accuracy of 76.05 
--Removing feature 17 from current set yields accuracy of 74.55 
--Removing feature 21 from current set yields accuracy of 75.75 
--Removing feature 24 from current set yields accuracy of 75.4 
--Removing feature 26 from current set yields accuracy of 75.9 
--Removing feature 27 from current set yields accuracy of 74.45 
--Removing feature 36 from current set yields accuracy of 75.15 
--Removing feature 39 from current set yields accuracy of 75.3 
--Removing feature 42 from current set yields accuracy of 75.2 
--Removing feature 43 from current set yields accuracy of 76.1 
--Removing feature 44 from current set yields accuracy of 75.2 
--Removing feature 48 from current set yields accuracy of 74.85 
--Removing feature 49 from current set yields accuracy of 74.95 
--Removing feature 50 from current set yields accuracy of 74.8 
At level 30, I removed feature 12 from the current set to achieve an accuracy of 76.35

On the 31th level of the search tree
--Removing feature 2 from current set yields accuracy of 75.05 
--Removing feature 6 from current set yields accuracy of 75.25 
--Removing feature 9 from current set yields accuracy of 75.55 
--Removing feature 10 from current set yields accuracy of 75.15 
--Removing feature 11 from current set yields accuracy of 75.3 
--Removing feature 13 from current set yields accuracy of 75.35 
--Removing feature 16 from current set yields accuracy of 75.0 
--Removing feature 17 from current set yields accuracy of 75.05 
--Removing feature 21 from current set yields accuracy of 75.6 
--Removing feature 24 from current set yields accuracy of 75.1 
--Removing feature 26 from current set yields accuracy of 75.0 
--Removing feature 27 from current set yields accuracy of 74.55 
--Removing feature 36 from current set yields accuracy of 75.2 
--Removing feature 39 from current set yields accuracy of 74.55 
--Removing feature 42 from current set yields accuracy of 75.35 
--Removing feature 43 from current set yields accuracy of 75.05 
--Removing feature 44 from current set yields accuracy of 76.05 
--Removing feature 48 from current set yields accuracy of 74.8 
--Removing feature 49 from current set yields accuracy of 75.4 
--Removing feature 50 from current set yields accuracy of 74.5 
At level 31, I removed feature 44 from the current set to achieve an accuracy of 76.05

On the 32th level of the search tree
--Removing feature 2 from current set yields accuracy of 75.15 
--Removing feature 6 from current set yields accuracy of 75.9 
--Removing feature 9 from current set yields accuracy of 74.6 
--Removing feature 10 from current set yields accuracy of 74.3 
--Removing feature 11 from current set yields accuracy of 74.6 
--Removing feature 13 from current set yields accuracy of 75.5 
--Removing feature 16 from current set yields accuracy of 75.35 
--Removing feature 17 from current set yields accuracy of 73.6 
--Removing feature 21 from current set yields accuracy of 75.1 
--Removing feature 24 from current set yields accuracy of 74.4 
--Removing feature 26 from current set yields accuracy of 75.25 
--Removing feature 27 from current set yields accuracy of 74.2 
--Removing feature 36 from current set yields accuracy of 74.85 
--Removing feature 39 from current set yields accuracy of 74.85 
--Removing feature 42 from current set yields accuracy of 74.3 
--Removing feature 43 from current set yields accuracy of 74.85 
--Removing feature 48 from current set yields accuracy of 74.9 
--Removing feature 49 from current set yields accuracy of 74.85 
--Removing feature 50 from current set yields accuracy of 73.65 
At level 32, I removed feature 6 from the current set to achieve an accuracy of 75.9

On the 33th level of the search tree
--Removing feature 2 from current set yields accuracy of 74.6 
--Removing feature 9 from current set yields accuracy of 74.9 
--Removing feature 10 from current set yields accuracy of 75.75 
--Removing feature 11 from current set yields accuracy of 75.1 
--Removing feature 13 from current set yields accuracy of 75.65 
--Removing feature 16 from current set yields accuracy of 75.4 
--Removing feature 17 from current set yields accuracy of 73.75 
--Removing feature 21 from current set yields accuracy of 74.65 
--Removing feature 24 from current set yields accuracy of 75.2 
--Removing feature 26 from current set yields accuracy of 74.95 
--Removing feature 27 from current set yields accuracy of 74.25 
--Removing feature 36 from current set yields accuracy of 74.9 
--Removing feature 39 from current set yields accuracy of 75.85 
--Removing feature 42 from current set yields accuracy of 75.1 
--Removing feature 43 from current set yields accuracy of 74.6 
--Removing feature 48 from current set yields accuracy of 74.8 
--Removing feature 49 from current set yields accuracy of 74.45 
--Removing feature 50 from current set yields accuracy of 74.45 
At level 33, I removed feature 39 from the current set to achieve an accuracy of 75.85

On the 34th level of the search tree
--Removing feature 2 from current set yields accuracy of 75.05 
--Removing feature 9 from current set yields accuracy of 75.35 
--Removing feature 10 from current set yields accuracy of 74.75 
--Removing feature 11 from current set yields accuracy of 74.65 
--Removing feature 13 from current set yields accuracy of 74.9 
--Removing feature 16 from current set yields accuracy of 74.8 
--Removing feature 17 from current set yields accuracy of 73.8 
--Removing feature 21 from current set yields accuracy of 74.85 
--Removing feature 24 from current set yields accuracy of 74.35 
--Removing feature 26 from current set yields accuracy of 76.25 
--Removing feature 27 from current set yields accuracy of 74.45 
--Removing feature 36 from current set yields accuracy of 75.05 
--Removing feature 42 from current set yields accuracy of 75.05 
--Removing feature 43 from current set yields accuracy of 75.25 
--Removing feature 48 from current set yields accuracy of 74.6 
--Removing feature 49 from current set yields accuracy of 74.4 
--Removing feature 50 from current set yields accuracy of 75.65 
At level 34, I removed feature 26 from the current set to achieve an accuracy of 76.25

On the 35th level of the search tree
--Removing feature 2 from current set yields accuracy of 74.15 
--Removing feature 9 from current set yields accuracy of 74.5 
--Removing feature 10 from current set yields accuracy of 74.05 
--Removing feature 11 from current set yields accuracy of 75.9 
--Removing feature 13 from current set yields accuracy of 75.05 
--Removing feature 16 from current set yields accuracy of 74.95 
--Removing feature 17 from current set yields accuracy of 73.85 
--Removing feature 21 from current set yields accuracy of 74.45 
--Removing feature 24 from current set yields accuracy of 74.7 
--Removing feature 27 from current set yields accuracy of 74.85 
--Removing feature 36 from current set yields accuracy of 74.8 
--Removing feature 42 from current set yields accuracy of 75.05 
--Removing feature 43 from current set yields accuracy of 75.75 
--Removing feature 48 from current set yields accuracy of 74.75 
--Removing feature 49 from current set yields accuracy of 74.85 
--Removing feature 50 from current set yields accuracy of 74.25 
At level 35, I removed feature 11 from the current set to achieve an accuracy of 75.9

On the 36th level of the search tree
--Removing feature 2 from current set yields accuracy of 73.2 
--Removing feature 9 from current set yields accuracy of 74.45 
--Removing feature 10 from current set yields accuracy of 75.3 
--Removing feature 13 from current set yields accuracy of 73.85 
--Removing feature 16 from current set yields accuracy of 74.8 
--Removing feature 17 from current set yields accuracy of 74.7 
--Removing feature 21 from current set yields accuracy of 73.5 
--Removing feature 24 from current set yields accuracy of 75.2 
--Removing feature 27 from current set yields accuracy of 74.75 
--Removing feature 36 from current set yields accuracy of 74.3 
--Removing feature 42 from current set yields accuracy of 74.75 
--Removing feature 43 from current set yields accuracy of 75.75 
--Removing feature 48 from current set yields accuracy of 74.6 
--Removing feature 49 from current set yields accuracy of 74.65 
--Removing feature 50 from current set yields accuracy of 74.55 
At level 36, I removed feature 43 from the current set to achieve an accuracy of 75.75

On the 37th level of the search tree
--Removing feature 2 from current set yields accuracy of 73.65 
--Removing feature 9 from current set yields accuracy of 74.4 
--Removing feature 10 from current set yields accuracy of 74.1 
--Removing feature 13 from current set yields accuracy of 75.75 
--Removing feature 16 from current set yields accuracy of 75.75 
--Removing feature 17 from current set yields accuracy of 72.9 
--Removing feature 21 from current set yields accuracy of 73.95 
--Removing feature 24 from current set yields accuracy of 74.8 
--Removing feature 27 from current set yields accuracy of 74.9 
--Removing feature 36 from current set yields accuracy of 73.8 
--Removing feature 42 from current set yields accuracy of 74.6 
--Removing feature 48 from current set yields accuracy of 74.35 
--Removing feature 49 from current set yields accuracy of 73.8 
--Removing feature 50 from current set yields accuracy of 73.95 
At level 37, I removed feature 13 from the current set to achieve an accuracy of 75.75

On the 38th level of the search tree
--Removing feature 2 from current set yields accuracy of 75.05 
--Removing feature 9 from current set yields accuracy of 74.35 
--Removing feature 10 from current set yields accuracy of 74.2 
--Removing feature 16 from current set yields accuracy of 75.45 
--Removing feature 17 from current set yields accuracy of 73.7 
--Removing feature 21 from current set yields accuracy of 74.6 
--Removing feature 24 from current set yields accuracy of 74.1 
